instance,chuffed-SavileRowTime,chuffed-SolverTime,chuffed-TotalTime,fzn2omt-bv-mathsat-SavileRowTime,fzn2omt-bv-mathsat-SolverTime,fzn2omt-bv-mathsat-TotalTime,fzn2omt-bv-z3-SavileRowTime,fzn2omt-bv-z3-SolverTime,fzn2omt-bv-z3-TotalTime,fzn2omt-int-mathsat-SavileRowTime,fzn2omt-int-mathsat-SolverTime,fzn2omt-int-mathsat-TotalTime,fzn2omt-int-z3-SavileRowTime,fzn2omt-int-z3-SolverTime,fzn2omt-int-z3-TotalTime,sat-SavileRowTime,sat-SolverTime,sat-TotalTime,smt-bv-flat-SavileRowTime,smt-bv-flat-SolverTime,smt-bv-flat-TotalTime,smt-bv-nested-SavileRowTime,smt-bv-nested-SolverTime,smt-bv-nested-TotalTime,smt-bv-nested-z3-SavileRowTime,smt-bv-nested-z3-SolverTime,smt-bv-nested-z3-TotalTime,smt-bv-nested-z3-pairwisealldiff-SavileRowTime,smt-bv-nested-z3-pairwisealldiff-SolverTime,smt-bv-nested-z3-pairwisealldiff-TotalTime,smt-idl-flat-SavileRowTime,smt-idl-flat-SolverTime,smt-idl-flat-TotalTime,smt-idl-nested-SavileRowTime,smt-idl-nested-SolverTime,smt-idl-nested-TotalTime,smt-lia-flat-SavileRowTime,smt-lia-flat-SolverTime,smt-lia-flat-TotalTime,smt-lia-nested-SavileRowTime,smt-lia-nested-SolverTime,smt-lia-nested-TotalTime,smt-nia-flat-SavileRowTime,smt-nia-flat-SolverTime,smt-nia-flat-TotalTime,smt-nia-nested-SavileRowTime,smt-nia-nested-SolverTime,smt-nia-nested-TotalTime
JPEncoding--data100,5.90,2.65,8.55,5.34,18.68,24.02,5.15,27.00,32.15,5.58,0.56,6.14,5.06,1.83,6.89,3600.00,3600.00,3600.00,5.07,12.90,17.97,4.99,13.66,18.65,5.05,3.98,9.03,5.15,3.99,9.14,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,4.98,0.09,5.07,5.00,0.07,5.07,5.03,28.74,33.77,4.92,25.30,30.22
JPEncoding--data1000,44.91,57.50,102.41,3600,3600,3600,3600,3600,3600,27.69,3.70,31.39,24.56,12.58,37.14,3600.00,3600.00,3600.00,35.35,625.66,661.02,36.62,688.94,725.55,35.26,17.87,53.13,35.06,16.95,52.01,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,34.53,0.87,35.40,33.70,0.69,34.39,34.78,22.98,57.76,35.81,25.60,61.41
JPEncoding--data1400,71.03,75.43,146.46,3.61,3600.00,3600.00,3600,3600,3600,38.99,6.24,45.23,40.03,30.54,70.57,3600.00,3600.00,3600.00,58.19,3600.06,3600.00,57.29,3600.05,3600.00,59.68,169.36,229.04,58.98,170.12,229.10,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,60.00,1.50,61.50,57.55,1.37,58.93,58.92,153.57,212.49,57.58,97.61,155.19
JPEncoding--data1700,97.17,91.69,188.86,3600,3600,3600,3600,3600,3600,47.61,9.02,56.64,47.03,47.12,94.15,3600.00,3600.00,3600.00,72.82,3600.05,3600.00,72.75,3600.05,3600.00,75.89,305.88,381.77,75.81,313.43,389.24,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,72.64,2.63,75.27,73.10,2.42,75.52,74.50,341.40,415.90,72.29,240.74,313.03
JPEncoding--data1900,106.39,171.74,278.12,3.60,3600.00,3600.00,3600,3600,3600,45.29,9.69,54.98,48.45,48.23,96.68,3600.00,3600.00,3600.00,80.61,3600.05,3600.00,84.29,3600.05,3600.00,81.75,461.13,542.88,84.85,467.40,552.25,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,82.62,2.65,85.27,81.49,2.48,83.97,82.19,330.00,412.19,83.09,281.56,364.65
JPEncoding--data200,7.61,2.54,10.15,6.80,46.02,52.82,6.92,529.60,536.52,6.38,0.82,7.20,6.75,2.54,9.28,3600.00,3600.00,3600.00,5.87,72.35,78.22,6.22,27.79,34.01,6.07,3.67,9.74,6.30,3.69,9.99,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,5.87,0.14,6.01,5.97,0.13,6.11,5.98,11.61,17.59,6.22,16.07,22.29
JPEncoding--data300,11.45,4.92,16.37,9.62,114.97,124.59,3600,3600,3600,9.30,1.06,10.37,9.58,3.58,13.16,3600.00,3600.00,3600.00,9.13,101.53,110.66,8.94,102.48,111.42,9.89,11.69,21.58,10.01,11.99,22.00,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,8.94,0.19,9.13,9.21,0.20,9.41,9.06,17.80,26.86,9.68,18.39,28.07
JPEncoding--data400,23.33,11.87,35.20,17.08,2968.07,2985.15,3.60,3600.00,3600.00,17.20,1.95,19.15,16.17,7.49,23.65,3600.00,3600.00,3600.00,17.88,1359.72,1377.60,18.40,661.63,680.03,18.54,15.17,33.70,17.92,15.38,33.30,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,17.01,0.54,17.56,17.57,0.48,18.05,18.20,15.43,33.63,17.73,13.94,31.67
JPEncoding--data800,32.08,44.00,76.08,3600,3600,3600,3600,3600,3600,20.07,3.05,23.11,19.51,8.76,28.27,3600.00,3600.00,3600.00,24.48,1627.35,1651.83,23.03,3600.04,3600.00,23.64,15.19,38.83,24.28,15.58,39.86,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,23.85,0.58,24.44,23.38,0.48,23.87,24.26,29.58,53.84,22.81,28.36,51.17
JPEncoding--data900,44.36,57.42,101.77,3600,3600,3600,3600,3600,3600,27.94,4.07,32.00,27.14,12.17,39.30,3600.00,3600.00,3600.00,36.72,953.94,990.66,35.57,919.79,955.36,36.11,58.09,94.20,35.62,61.13,96.75,3600.00,3600.00,3600.00,3600.00,3600.00,3600.00,35.15,0.90,36.05,37.29,0.71,38.00,35.57,43.75,79.32,36.12,78.49,114.61
