problem,instance,sat,smt-bv-flat,smt-bv-nested,smt-idl-flat,smt-idl-nested,smt-lia-flat,smt-lia-nested,smt-nia-flat,smt-nia-nested,sat ratio to SAT,smt-bv-flat ratio to SAT,smt-bv-nested ratio to SAT,smt-idl-flat ratio to SAT,smt-idl-nested ratio to SAT,smt-lia-flat ratio to SAT,smt-lia-nested ratio to SAT,smt-nia-flat ratio to SAT,smt-nia-nested ratio to SAT
JPEncoding,data100,NA,3595,2788,NA,NA,3595,2788,3595,2788,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPEncoding,data1000,NA,19337,15306,NA,NA,19337,15306,19337,15306,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPEncoding,data1400,NA,28501,22340,NA,NA,28501,22340,28501,22340,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPEncoding,data1700,NA,35243,27789,NA,NA,35243,27789,35243,27789,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPEncoding,data1900,NA,37027,29180,NA,NA,37027,29180,37027,29180,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPEncoding,data200,NA,4685,3683,NA,NA,4685,3683,4685,3683,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPEncoding,data300,NA,6307,4991,NA,NA,6307,4991,6307,4991,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPEncoding,data400,NA,12438,9784,NA,NA,12438,9784,12438,9784,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPEncoding,data800,NA,14362,11383,NA,NA,14362,11383,14362,11383,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPEncoding,data900,NA,19700,15525,NA,NA,19700,15525,19700,15525,NA,NA,NA,NA,NA,NA,NA,NA,NA
aces-up,test-0,2560002,27053,26731,1454747,1454747,156293,145899,27053,26731,1.0,0.01056756986908604,0.010441788717352565,0.5682601029217946,0.5682601029217946,0.06105190542819888,0.05699175235019348,0.01056756986908604,0.010441788717352565
aces-up,test-1,2466994,26260,25934,1465934,1465934,155386,144988,26260,25934,1.0,0.010644533387596402,0.010512388761383287,0.5942187131383376,0.5942187131383376,0.06298596591641488,0.058771119832476286,0.010644533387596402,0.010512388761383287
aces-up,test-10,73887,2062,2062,2062,2062,2062,2062,2062,2062,1.0,0.027907480341602717,0.027907480341602717,0.027907480341602717,0.027907480341602717,0.027907480341602717,0.027907480341602717,0.027907480341602717,0.027907480341602717
aces-up,test-2,2593987,27782,27456,1453044,1453044,158777,148127,27782,27456,1.0,0.010710153905937077,0.010584478642337067,0.5601585512957467,0.5601585512957467,0.06120963597735841,0.057103987028462366,0.010710153905937077,0.010584478642337067
aces-up,test-3,1833830,18380,18136,1080023,1080023,117255,109207,18380,18136,1.0,0.010022739294263918,0.00988968443094507,0.5889439042877475,0.5889439042877475,0.06393995081332511,0.05955132155107071,0.010022739294263918,0.00988968443094507
aces-up,test-4,1966227,19960,19694,1213259,1213259,125961,117387,19960,19694,1.0,0.010151421987390063,0.010016137505994985,0.6170493030560561,0.6170493030560561,0.06406228782332864,0.05970165194557902,0.010151421987390063,0.010016137505994985
aces-up,test-5,1828200,18655,18411,1319443,1319443,115546,107750,18655,18411,1.0,0.010204025817744228,0.010070561207745323,0.7217169893884695,0.7217169893884695,0.06320205666776064,0.05893775298107428,0.010204025817744228,0.010070561207745323
