BinaryPropagations,BoolPropagations,ExitCode,Propagations,Restarts,SATClauses,SATVars,SavileRowClauseOut,SavileRowTimeOut,SavileRowTotalTime,SolverMemOut,SolverNodes,SolverSatisfiable,SolverTimeOut,SolverTotalTime,TheoryPropagations,configuration,instance,problem,seed
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data100,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,6.087,NA,NA,1,0,2.648,NA,chuffed,data100,JPEncoding,1
NA,NA,Success,NA,NA,3595,1870,0,0,4.619,NA,NA,1,NA,12.897259087,NA,smt-bv-flat,data100,JPEncoding,1
NA,NA,Success,NA,NA,2788,1063,0,0,4.57,NA,NA,1,NA,13.149799665,NA,smt-bv-nested,data100,JPEncoding,1
NA,NA,Success,NA,NA,2788,1063,0,0,4.769,NA,NA,1,NA,3.72,NA,smt-bv-nested-z3,data100,JPEncoding,1
NA,NA,Success,NA,NA,2788,1063,0,0,5.02,NA,NA,1,NA,4.08,NA,smt-bv-nested-z3-pairwisealldiff,data100,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.004,NA,NA,NA,NA,3600,NA,smt-idl-flat,data100,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-nested,data100,JPEncoding,1
NA,38743,Success,NA,0,3595,1870,0,0,4.983,0,1297,1,0,0.086,0,smt-lia-flat,data100,JPEncoding,1
NA,37581,Success,NA,0,2788,1063,0,0,4.688,0,1374,1,0,0.065,0,smt-lia-nested,data100,JPEncoding,1
1817877,NA,Success,19567456,17,3595,1870,0,0,5.027,NA,67859,1,NA,28.74,NA,smt-nia-flat,data100,JPEncoding,1
852900,NA,Success,4875891,12,2788,1063,0,0,4.916,NA,65783,1,NA,24.96,NA,smt-nia-nested,data100,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,5.481,NA,NA,1,0,18.684,NA,fzn2omt-bv-mathsat,data100,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,5.076,NA,NA,1,0,26.818,NA,fzn2omt-bv-z3,data100,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,5.581,NA,NA,1,0,0.563,NA,fzn2omt-int-mathsat,data100,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,5.06,NA,NA,1,0,1.827,NA,fzn2omt-int-z3,data100,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data100,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,5.904,NA,NA,1,0,2.684,NA,chuffed,data100,JPEncoding,3
NA,NA,Success,NA,NA,3595,1870,0,0,5.074,NA,NA,1,NA,12.865110446,NA,smt-bv-flat,data100,JPEncoding,3
NA,NA,Success,NA,NA,2788,1063,0,0,12.647,NA,NA,1,NA,17.410894908,NA,smt-bv-nested,data100,JPEncoding,3
NA,NA,Success,NA,NA,2788,1063,0,0,5.207,NA,NA,1,NA,4.29,NA,smt-bv-nested-z3,data100,JPEncoding,3
NA,NA,Success,NA,NA,2788,1063,0,0,5.262,NA,NA,1,NA,3.95,NA,smt-bv-nested-z3-pairwisealldiff,data100,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.002,NA,NA,NA,NA,3600,NA,smt-idl-nested,data100,JPEncoding,3
NA,40076,Success,NA,0,3595,1870,0,0,5.112,0,1336,1,0,0.083,0,smt-lia-flat,data100,JPEncoding,3
NA,36644,Success,NA,0,2788,1063,0,0,5.498,0,1334,1,0,0.070,0,smt-lia-nested,data100,JPEncoding,3
1798134,NA,Success,19514788,17,3595,1870,0,0,5.244,NA,66300,1,NA,28.58,NA,smt-nia-flat,data100,JPEncoding,3
856711,NA,Success,4891834,12,2788,1063,0,0,4.54,NA,66815,1,NA,25.30,NA,smt-nia-nested,data100,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,5.339,NA,NA,1,0,14.777,NA,fzn2omt-bv-mathsat,data100,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,5.74,NA,NA,1,0,26.996,NA,fzn2omt-bv-z3,data100,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,5.041,NA,NA,1,0,0.522,NA,fzn2omt-int-mathsat,data100,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,4.884,NA,NA,1,0,1.812,NA,fzn2omt-int-z3,data100,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data100,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,5.307,NA,NA,1,0,1.997,NA,chuffed,data100,JPEncoding,8
NA,NA,Success,NA,NA,3595,1870,0,0,5.311,NA,NA,1,NA,13.01578889,NA,smt-bv-flat,data100,JPEncoding,8
NA,NA,Success,NA,NA,2788,1063,0,0,4.994,NA,NA,1,NA,13.658831802,NA,smt-bv-nested,data100,JPEncoding,8
NA,NA,Success,NA,NA,2788,1063,0,0,5.046,NA,NA,1,NA,3.98,NA,smt-bv-nested-z3,data100,JPEncoding,8
NA,NA,Success,NA,NA,2788,1063,0,0,5.147,NA,NA,1,NA,3.99,NA,smt-bv-nested-z3-pairwisealldiff,data100,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.002,NA,NA,NA,NA,3600,NA,smt-idl-flat,data100,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-nested,data100,JPEncoding,8
NA,40754,Success,NA,0,3595,1870,0,0,4.656,0,1349,1,0,0.086,0,smt-lia-flat,data100,JPEncoding,8
NA,40456,Success,NA,0,2788,1063,0,0,4.996,0,1429,1,0,0.069,0,smt-lia-nested,data100,JPEncoding,8
1813017,NA,Success,19553401,17,3595,1870,0,0,4.611,NA,67433,1,NA,29.19,NA,smt-nia-flat,data100,JPEncoding,8
846854,NA,Success,4855739,11,2788,1063,0,0,4.944,NA,65098,1,NA,26.12,NA,smt-nia-nested,data100,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,5.254,NA,NA,1,0,19.828,NA,fzn2omt-bv-mathsat,data100,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,5.15,NA,NA,1,0,27.185,NA,fzn2omt-bv-z3,data100,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,5.697,NA,NA,1,0,0.575,NA,fzn2omt-int-mathsat,data100,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,5.54,NA,NA,1,0,1.956,NA,fzn2omt-int-z3,data100,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1000,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,47.395,NA,NA,1,0,57.633,NA,chuffed,data1000,JPEncoding,1
NA,NA,Success,NA,NA,19337,10096,0,0,35.352,NA,NA,1,NA,625.663261717,NA,smt-bv-flat,data1000,JPEncoding,1
NA,NA,Success,NA,NA,15306,6065,0,0,35.363,NA,NA,1,NA,687.651589881,NA,smt-bv-nested,data1000,JPEncoding,1
NA,NA,Success,NA,NA,15306,6065,0,0,36.433,NA,NA,1,NA,19.12,NA,smt-bv-nested-z3,data1000,JPEncoding,1
NA,NA,Success,NA,NA,15306,6065,0,0,35.062,NA,NA,1,NA,16.81,NA,smt-bv-nested-z3-pairwisealldiff,data1000,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.004,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1000,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.006,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1000,JPEncoding,1
NA,946448,Success,NA,1,19337,10096,0,0,34.527,0,42697,1,0,0.968,0,smt-lia-flat,data1000,JPEncoding,1
NA,981651,Success,NA,1,15306,6065,0,0,34.283,0,47193,1,0,0.683,0,smt-lia-nested,data1000,JPEncoding,1
9120268,NA,Success,10550055,4,19337,10096,0,0,35.138,NA,333820,1,NA,22.98,NA,smt-nia-flat,data1000,JPEncoding,1
10393198,NA,Success,12332792,4,15306,6065,0,0,35.806,NA,435267,1,NA,26.79,NA,smt-nia-nested,data1000,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,28.749,NA,NA,1,0,3.835,NA,fzn2omt-int-mathsat,data1000,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,24.558,NA,NA,1,0,12.691,NA,fzn2omt-int-z3,data1000,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1000,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,44.711,NA,NA,1,0,56.467,NA,chuffed,data1000,JPEncoding,3
NA,NA,Success,NA,NA,19337,10096,0,0,33.658,NA,NA,1,NA,599.795612709,NA,smt-bv-flat,data1000,JPEncoding,3
NA,NA,Success,NA,NA,15306,6065,0,0,36.616,NA,NA,1,NA,708.990433233,NA,smt-bv-nested,data1000,JPEncoding,3
NA,NA,Success,NA,NA,15306,6065,0,0,35.26,NA,NA,1,NA,17.69,NA,smt-bv-nested-z3,data1000,JPEncoding,3
NA,NA,Success,NA,NA,15306,6065,0,0,34.564,NA,NA,1,NA,16.95,NA,smt-bv-nested-z3-pairwisealldiff,data1000,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1000,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.002,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1000,JPEncoding,3
NA,1026128,Success,NA,1,19337,10096,0,0,34.264,0,47255,1,0,0.868,0,smt-lia-flat,data1000,JPEncoding,3
NA,936745,Success,NA,1,15306,6065,0,0,33.296,0,45014,1,0,0.754,0,smt-lia-nested,data1000,JPEncoding,3
9120268,NA,Success,10550055,4,19337,10096,0,0,34.776,NA,333820,1,NA,24.09,NA,smt-nia-flat,data1000,JPEncoding,3
10393198,NA,Success,12332792,4,15306,6065,0,0,35.097,NA,435267,1,NA,25.60,NA,smt-nia-nested,data1000,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,25.343,NA,NA,1,0,3.704,NA,fzn2omt-int-mathsat,data1000,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,0,23.977,NA,NA,1,0,12.579,NA,fzn2omt-int-z3,data1000,JPEncoding,3
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1000,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,44.911,NA,NA,1,0,57.503,NA,chuffed,data1000,JPEncoding,8
NA,NA,Success,NA,NA,19337,10096,0,0,35.426,NA,NA,1,NA,626.247156149,NA,smt-bv-flat,data1000,JPEncoding,8
NA,NA,Success,NA,NA,15306,6065,0,0,37.369,NA,NA,1,NA,688.93605873,NA,smt-bv-nested,data1000,JPEncoding,8
NA,NA,Success,NA,NA,15306,6065,0,0,33.54,NA,NA,1,NA,17.87,NA,smt-bv-nested-z3,data1000,JPEncoding,8
NA,NA,Success,NA,NA,15306,6065,0,0,35.143,NA,NA,1,NA,18.03,NA,smt-bv-nested-z3-pairwisealldiff,data1000,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1000,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1000,JPEncoding,8
NA,878174,Success,NA,1,19337,10096,0,0,36.243,0,40765,1,0,0.870,0,smt-lia-flat,data1000,JPEncoding,8
NA,863123,Success,NA,1,15306,6065,0,0,33.697,0,42085,1,0,0.694,0,smt-lia-nested,data1000,JPEncoding,8
9120268,NA,Success,10550055,4,19337,10096,0,0,34.615,NA,333820,1,NA,22.39,NA,smt-nia-flat,data1000,JPEncoding,8
10393198,NA,Success,12332792,4,15306,6065,0,0,36.538,NA,435267,1,NA,25.22,NA,smt-nia-nested,data1000,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,27.69,NA,NA,1,0,3.613,NA,fzn2omt-int-mathsat,data1000,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,0,25.669,NA,NA,1,0,12.365,NA,fzn2omt-int-z3,data1000,JPEncoding,8
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,sat,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,0,71.617,NA,NA,1,0,77.169,NA,chuffed,data1400,JPEncoding,1
NA,NA,Success,NA,NA,28501,15231,0,0,58.19,NA,NA,0,NA,3600.05861868,NA,smt-bv-flat,data1400,JPEncoding,1
NA,NA,Success,NA,NA,22340,9070,0,0,57.289,NA,NA,0,NA,3600.042369319,NA,smt-bv-nested,data1400,JPEncoding,1
NA,NA,Success,NA,NA,22340,9070,0,0,59.682,NA,NA,1,NA,171.47,NA,smt-bv-nested-z3,data1400,JPEncoding,1
NA,NA,Success,NA,NA,22340,9070,0,0,59.811,NA,NA,1,NA,170.12,NA,smt-bv-nested-z3-pairwisealldiff,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.003,NA,NA,NA,NA,3600,NA,smt-idl-flat,data1400,JPEncoding,1
NA,NA,Success,NA,NA,NA,NA,0,1,3600.002,NA,NA,NA,NA,3600,NA,smt-idl-nested,data1400,JPEncoding,1
NA,1508326,Success,NA,1,28501,15231,0,0,60.001,0,74690,1,0,1.498,0,smt-lia-flat,data1400,JPEncoding,1
NA,1371333,Success,NA,1,22340,9070,0,0,57.555,0,71638,1,0,1.206,0,smt-lia-nested,data1400,JPEncoding,1
